year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
2005,tt0357507,Boogeyman,Stephen Kay,M,Eric Kripke,M,Barry Watson,M,men,men,0,20000000,46752382,67192859,2005FAIL,23860663,55777141,80163307,2,2,,
1997,tt0118749,Boogie Nights,Paul Thomas Anderson,M,Paul Thomas Anderson,M,Mark Wahlberg,M,dubious-disagree,dubious,0,15000000,26410771,43111725,1997FAIL,21768572,38328318,62565379,4,3,,
2006,tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,M,Sacha Baron Cohen,M,Sacha Baron Cohen,M,notalk,notalk,0,18000000,128505958,261572744,2006FAIL,20804334,148526717,302324822,2,2,,
1996,tt0115736,Bound,Lana Wachowski,F,Lilly Wachowski,F,Jennifer Tilly,F,ok,ok,1,4500000,3802260,7011317,1996PASS,6683242,5646983,10412962,4,3,,
1999,tt0171804,Boys Don&#39;t Cry,Kimberly Peirce,F,Kimberly Peirce,F,Hilary Swank,F,ok-disagree,ok,1,2000000,11540607,20741000,1999PASS,2796924,16139101,29005501,4,3,,
2012,tt1217209,Brave,Mark Andrews,M,Brenda Chapman,F,Kelly Macdonald,F,ok,ok,1,185000000,237282182,554606532,2012PASS,187708135,240755653,562725176,1,1,,
1995,tt0112573,Braveheart,Mel Gibson,M,Randall Wallace,M,Mel Gibson,M,men-disagree,men,0,72000000,75545647,209000000,1995FAIL,110072121,115492633,319514907,4,3,,
1985,tt0088846,Brazil,Terry Gilliam,M,Terry Gilliam,M,Jonathan Pryce,M,ok,ok,1,15000000,9929135,9929135,1985PASS,32475836,21497131,21497131,,,,
2005,tt0393109,Brick,Rian Johnson,M,Rian Johnson,M,Joseph Gordon-Levitt,M,notalk,notalk,0,450000,2075743,4087493,2005FAIL,536865,2476430,4876515,2,2,,
1998,tt0144120,Bride of Chucky,Ronny Yu,M,Don Mancini,M,Jennifer Tilly,F,notalk,notalk,0,25000000,32404188,50692188,1998FAIL,35728308,46309872,72445844,4,3,,
2009,tt0901476,Bride Wars,Gary Winick,M,Greg DePaul,M,Kate Hudson,F,ok,ok,1,30000000,58715510,115150424,2009PASS,32571948,63749284,125022454,2,2,,
2011,tt1478338,Bridesmaids,Paul Feig,M,Kristen Wiig,F,Kristen Wiig,F,ok-disagree,ok,1,32500000,169106725,289263136,2011PASS,33659951,175142277,299587165,1,1,,
2007,tt0398808,Bridge to Terabithia,Gabor Csupo,M,Jeff Stockwell,M,Josh Hutcherson,M,ok,ok,1,25000000,82234139,137984788,2007PASS,28088587,92393631,155031909,2,2,,
